,Belgium,Youtube,Dblp,Mycielskian,Naca
V3,0.0222,5.326,0.1808,15.901,0.2779
,,,,,
V3_cilk_1,0.0332,5.7368,0.2273,17.1188,0.3645
V3_cilk_5,0.0094,1.7094,0.2738,4.1795,0.6113
V3_cilk_10,0.0078,1.4108,0.3058,2.9742,0.7684
V3_cilk_15,0.029,1.3716,0.4542,3.0176,0.7561
V3_cilk_20,0.0128,1.3799,0.3482,3.1842,0.8068
,,,,,
V3_openmp_1,0.0246,5.3318,0.2244,15.1326,0.3134
V3_openmp_5,0.0103,2.6289,0.1646,8.1734,0.2728
V3_openmp_10,0.0153,2.0852,0.2129,7.7135,0.4656
V3_openmp_15,0.0291,1.8383,0.2138,5.4122,0.5719
V3_openmp_20,0.0098,1.8782,0.2259,5.4079,0.5228
,,,,,
V4,0.0958,1.415,0.1119,0.5039,0.4107
,,,,,
V4_cilk_1,0.5031,15.3038,0.4653,3.5842,2.095
V4_cilk_5,0.1723,3.6392,0.2203,1.0687,0.5268
V4_cilk_10,0.1803,2.2917,0.2168,0.7224,0.4289
V4_cilk_15,0.2069,1.9512,0.2244,0.5874,0.5156
V4_cilk_20,0.3624,2.0062,0.1707,0.8865,0.4157
,,,,,
V4_openmp_1,0.3718,16.4428,0.4243,3.5506,1.6213
V4_openmp_5,0.1578,13.4149,0.193,2.01,0.6053
V4_openmp_10,0.156,11.8208,0.2996,1.517,0.3805
V4_openmp_15,0.1506,10.0726,0.1805,1.3631,0.4013
V4_openmp_20,0.1439,9.3582,0.1119,1.3346,0.4324
,,,,,
V4_pthreads_1,3.21671,0,1.197175,73.779618,2.129438
V4_pthreads_5,3.610554,0,4.413668,57.094206,8.364771
V4_pthreads_10,3.863167,0,4.639849,67.712934,8.889438
V4_pthreads_15,3.900215,0,4.968586,68.669044,8.899041
V4_pthreads_20,4.129917,0,5.149708,78.817535,8.892761
